ccn,ceo,company_name,description,founded_in,headquarters,nob,ownership,ratings,toc
,Mark Fields,Ford Motor,"Since 1903, Ford Motor Company has built iconic vehicles, including Model T, Continental, Mustang, F-series, and Bronco. We have also manufactured many other products, such as airplanes, radios, refrigerators, postal machines, and weather satellites",1903,,B2C,Public,4.4,Foreign Mnc
,Christina Ruggiero,Hindustan Coca Cola Beverages,"HCCB – a company started in 1997 with the simple aim of making beverages for the India of the 21st century. Two decades later, we are one of India’s top FMCG companies. Only because fellow Indians, who have faith in the quality and purity of our products, pick our beverages, 477 times per second. What we do? Manufacturing Our 18 factories, spread across India, manufacture the beverages that India wants. And if it is about India, we better make the best. With stringent processes, world-class machines, state-of-the-art equipment, and the best packaging materials, we make 55 different beverage products in multiple categories. Packaging At a very basic and functional level, they help keep your favourite beverages, safe, hygienic and consistent. At their most evolved, they can be ambassadors of goodwill and messengers of change. Packages are an integral part of the HCCB story. Distribution HCCB – where warehousing and logistics integrates seamlessly with manufacturing and planning. Because when it is about serving 442 beverages per second, across 493 districts, through 20 lakh retailers, supply chain and distribution capability holds the mirror on us.",1997,"Bangalore, India",Product,Private,4.2,Foreign Mnc
,,Nestle,"As the world’s largest food and beverage company we are driven by a simple aim: enhancing quality of life and contributing to a healthier future. To deliver on this, we serve with passion, with a spirit of excellence, offering products and services for all stages of life, every moment of the day, helping people care for themselves and their families. Our culture is based on our values rooted in respect: respect for ourselves, respect for others, respect for diversity and respect for the future.

We can trace our origin back to 1866, when the first European condensed milk factory was opened in Cham, Switzerland, by the Anglo-Swiss Condensed Milk Company. One year later, Henri Nestlé, a trained pharmacist, launched one of the world’s first prepared infant cereals ‘Farine lactée’ in Vevey, Switzerland.

Today, we employ around 328,000 people and have factories or operations in almost every country in the world. With our headquarters still based in the Swiss town of Vevey, we had sales of CHF 89.5 billion in 2016.",1959,,B2C,Public,4.1,Foreign Mnc
,Ajay Sachdewa,Hdfc Sales,"Headquartered in Mumbai, HDFC Sales was formed in January 2004. Today, after 16 years, it is a workforce of 11,000+ employees in over 350 branches across various locations in India. At HDFC Sales, our clients are at the heart of all our endeavours. We understand that our success only comes from ensuring all our products and services meet the unique needs of each of our clients. Our proactive customer-centric initiatives have ensured a steady upscale in our business and regularly create paths for expansion and growth. Our people are our strongest asset. We know that the talent and points of view of diverse individuals built our legacy and will shape our future. What started as farsightedness in encouraging mortgage distribution for HDFC, has today become one of our market-leading products. A one-stop-shop for all financial management solutions, it covers a wide range of products. Our endeavor now is to grow beyond boundaries.",2004,"Mumbai, Maharashtra, India",Service,Private,4.1,Corporate
,Yashish Dahiya,Policybazaar,"We stay awake and alive because Insurance helps families in financial distress, during the times of death, disability, disease, and accidents, and when families need help most. One incident can destroy a family’s future and development. We hope no one ever faces such a situation, but the truth is millions of people do. Unlike European countries we have poor social security. The rich can still recover from the financial loss, but the poor cannot recover from such a loss easily. Thus we believe we do a noble act by building awareness about such a product. We are against miss selling. Millions of people every year buy Insurance policies without understanding as they are usually told just a few things to sell the product. Many times these are lies or half-truths; as such commitments are rarely documented or recorded. Thus customers start hating insurance and its sellers hurting persistency and growth. This is no way to build a sustainable business. We believe everyone must fully understand what they are buying, and know both the positives and the negatives. They should know the options, and choose what is best for them and their needs. The true value of any insurance policy lies in the payment of a claim, and we will fight the corner of a customer very hard indeed, at the point of claim, and ensure he gets a fair deal from the insurance company. Finally we believe companies must make a profit too, else how can they continue to service customers. Thus we are against customer side fraud. We like customers to make truthful declarations, and not try to cheat the system. All in all, Insurance has a huge role in supporting families in distress, and we will make it viable for every participant, as we said, fairly, transparently, and sustainably.",2008,,Service,Public,3.4,Corporate
,,Blue Dart Express,"Blue Dart Express Ltd., South Asia's premier express air and integrated transportation & distribution company, offers secure and reliable delivery of consignments to over 35,000 locations in India. As part of the DPDHL Group’s (DHL Express, DHL Global Forwarding & DHL Supply Chain) Post - E-commerce - Parcel (PeP) division, Blue Dart accesses the largest and most comprehensive express and logistics network worldwide, covering over 220 countries and territories and offers an entire spectrum of distribution services including air express, freight forwarding, supply chain solutions and customs clearance. The Blue Dart team drives market leadership through its motivated people force, dedicated air and ground capacity, cutting-edge technology, wide range of innovative, vertical specific products and value-added services to deliver unmatched standards of service quality to its customers. Blue Dart's market leadership is further validated by numerous awards and recognitions from customers for exhibiting reliability, superior brand experience and sustainability which include recognition as one of ‘India's Best Companies to Work For’ by The Great Place to Work® Institute, amongst the Top 25 Best Employers in India 2016 by AON Hewitt, voted as a Superbrand, listed as one of Fortune 500’s India's Largest Corporations and Forbes India's Super 50 Companies and voted Reader’s Digest Most Trusted Brand to name a few. Blue Dart accepts its social responsibility by supporting climate protection (GoGreen), disaster management (GoHelp) and education (GoTeach).",1983,"Mumbai, Maharashtra, India",Service,Public,4.1,Corporate
,,Lava International,"Lava International Limited is a leading Mobile Handset Company in India and has expanded its operations to multiple countries across the world. Right from its inception Lava has been at the forefront of building a strong ecosystem of design and manufacturing of mobile handsets. The company has been building mobile handset design capability including industrial design, mechanical design, hardware design & software design. In line with the Govt. of India’s ‘Make in India’ initiative, Lava has taken a lead in support of this important nation building program and has already set up a design team in India, becoming the first to do so in the country. With this ‘Design in India’ initiative, Lava is now the only Mobile handset company that makes truly “Make In India” phones with complete control on design and manufacturing within India. Lava was also ranked as the ‘Most Trustworthy Brand’ in the CMR Retail Sentiment Index 2018. Lava products are available through a nationwide retail network of 1.65 Lakh retailers who in turn are directly served by over 1000 distributors. Lava’s after sales service network is one of the largest in the country with close to 800+ professionally managed service centers focused on speed and quality of service.",2009,,Product,Public,4.1,Indian Mnc
104488000,Pekka Lundmark,Nokia,"At Nokia, we create technology that helps the world act together.

As a trusted partner for critical networks, we are committed to innovation and technology leadership across mobile, fixed, and cloud networks. We create value with intellectual property and long-term research, led by the award-winning Nokia Bell Labs.

Adhering to the highest standards of integrity and security, we help build the capabilities needed for a more productive, sustainable, and inclusive world.

Nokia is creating the critical networks and technologies to bring together the world’s intelligence, across businesses, cities, supply chains, and societies. But what can you expect to experience in your day-to-day work at Nokia? Learn more about the unique elements of our culture that you will feel and experience when you choose a career at Nokia.",1865,,Product,Private,4.2,Foreign Mnc
04445104520,Patrice Wolfe,Ags Health,"AGS is an analytics-driven, technology-enabled organization that provides healthcare billing, coding, and customized analytics services to some of the nation's largest healthcare organizations. Our client services team is second-to-none in collaborating with clients to achieve their revenue goals. Our RCM products and services ease our customers’ administrative and financial burdens, so they can focus on their core mission of providing high-quality patient care.",2011,,B2B,Private,4.0,Corporate
,Doug Mcmillon,Walmart,"What started small, with a single discount store and the simple idea of selling more for less, has grown over the last 50 years into the largest retailer in the world. Each week, nearly 265 million customers and members visit our more than 11,200 stores under 55 banners in 27 countries and eCommerce websites in 10 countries. With fiscal year 2018 revenue of $500.3 billion, Walmart employs over 2.2 million associates worldwide. Walmart continues to be a leader in sustainability, corporate philanthropy and employment opportunity. It’s all part of our unwavering commitment to creating opportunities and bringing value to customers and communities around the world",2009,,B2C,Private,4.0,Corporate
,Bhavish Aggarwal,Ola Cabs,"Ola is India’s largest mobility platform and one of the world’s largest ride-hailing companies, serving 250+ cities across India, Australia, New Zealand, and the UK. The Ola app offers mobility solutions by connecting customers to drivers and a wide range of vehicles across bikes, auto-rickshaws, metered taxis, and cabs, enabling convenience and transparency for hundreds of millions of consumers and over 1.5 million driver-partners. Ola’s core mobility offering in India is supplemented by its electric-vehicle arm, Ola Electric; India’s largest fleet management business, Ola Fleet Technologies and Ola Skilling, that aims to enable millions of livelihood opportunities for India's youth. With its acquisition of Ridlr, India’s leading public transportation app and investment in Vogo, a dockless scooter sharing solution, Ola is looking to build mobility for the next billion Indians. Ola also extends its consumer offerings like micro-insurance and credit led payments through Ola Financial Services and a range of owned food brands through India’s largest network of kitchens under its Food business. Ola’s core mobility offering in India is supplemented by its electric-vehicle arm, Ola Electric; India’s largest fleet management business, Ola Fleet Technologies and Ola Skilling, that aims to enable millions of livelihood opportunities for India's youth. With its acquisition of Ridlr, India’s leading public transportation app and investment in Vogo, a dockless scooter sharing solution, Ola is looking to build mobility for the next billion Indians. Ola also extends its consumer offerings like micro-insurance and credit led payments through Ola Financial Services and a range of owned food brands through India’s largest network of kitchens under its Food business.",2010,"Bangalore, India",Product,Private,3.4,Corporate
,Subir Chakraborty,Exide Industries,"For more than six decades, Exide has been one of India's most reliable brands, enjoying unrivalled reputation and recall. Our constant emphasis on innovation, extensive geographic footprint, strong relationship with marquee clients and steady technology upgradations with global business partners have made us a distinct frontrunner in the lead-acid storage batteries space for both automotive and industrial applications.",1947,"Kolkata, West Bengal, India",B2C,Public,3.6,Indian Mnc
,,Yazaki,"Yazaki Corporation is an independent automotive component maker founded in 1941. As well as automotive wire harnesses, our core product for which we command a top share in the global market, we develop and manufacture meters, electronic components and a host of other products for automotive use.
Since our first overseas production site was established in Thailand in 1962, our global development and manufacturing network has continued to grow, along with our relationship of mutual trust with car manufacturers around the world.
With ""A Corporation in Step with the World"" and ""A Corporation Needed by Society"" as our corporate policy, we are committed to being environment-friendly in every aspect of our business. We have developed and produced a long line of eco-friendly and energy saving products, starting with the world's first solar thermal powered air conditioning system in 1974, to the world's first wood biomass energy air conditioning system in 2008.
Yazaki Corporation is dedicated to caring for the environment, making a contribution to society and inspiring trust in all our stakeholders.",1941,,B2B,Private,3.9,Foreign Mnc
,Ajoy Chawla,Titan Company,"We, at Titan, pride ourselves for creating a niche of our own!",1984,"Bangalore, Karnataka, India",B2C,Public,4.4,Corporate
,Albert Bourla,Pfizer,"Pfizer is a leading research-based biopharmaceutical company. We apply science and our global resources to deliver innovative therapies that extend and significantly improve lives. We make medicines and vaccines that help people when they are sick and prevent them from getting sick in the first place, as well as some of the world’s best-known consumer healthcare brands. Every day, our colleagues work in developed and emerging markets to treat, cure and eradicate life-threatening conditions and challenge some of the most feared diseases of our time. Pfizer also collaborates with healthcare providers, governments and local communities to support and expand access to reliable, affordable healthcare around the world.",2004,,Product,Public,4.1,Corporate
,,Blue Star,"Blue Star is India's leading air conditioning and commercial refrigeration company, with an annual revenue of over ₹5200 crores (over US$ 750 million), a network of 32 offices, 5 modern manufacturing facilities, 2800 employees, and 2900 channel partners. The Company has 5000 stores for room ACs, packaged air conditioners, chillers, cold rooms as well as refrigeration products and systems, along with 765 service associates reaching out to customers in over 800 towns. Blue Star's integrated business model of a manufacturer, contractor and after-sales service provider enables it to offer an end-to-end solution to its customers, which has proved to be a significant differentiator in the market place. In fact, every third commercial building in India has a Blue Star product installed. The Company fulfills the cooling requirements of a large number of corporate, commercial as well as residential customers. Blue Star has also forayed into the residential water purifiers business with a stylish and differentiated range including India’s first RO+UV Hot & Cold water purifier; as well as the air purifiers and air coolers businesses. The Company also offers expertise in allied contracting activities such as electrical, plumbing, fire-fighting and industrial projects, in order to offer turnkey solutions, apart from execution of specialised industrial projects.",1943,"Mumbai, Maharashtra, India",B2C,Public,4.1,Indian Mnc
8939875175,,Renault-Nissan,"Established in 2007, it is located in Mahindra World City, Chennai, India, and employs over 8,000 employees. RNTBCI has bestowed with ISO 9001:2015 certification in 2019 and ISO/IEC 27001:2013 certification in 2020. Renault Nissan Technology & Business Centre India (RNTBCI) is crafting the future of the automotive industry through advanced engineering and emerging manufacturing technologies. These innovations are achievable through the company's diverse and inclusive workplace culture. Our way of working is embracing a culture of Respect, Equity & Dignity that encourages fairness, collaboration, and compassion. Renault Nissan Technology & Business Centre India Private Limited (RNTBCI) CSR philosophy is to graciously give back a piece of our success to society. We believe in contributing to the right people for the right cause and through the right forum.",2007,"Chennai, Tamil Nadu, India",B2C,Private,4.1,Indian Mnc
,Sunil Mittal,Movate,"Movate, formerly CSS Corp, is a digital technology and customer experience services company committed to disrupting the industry with boundless agility, human-centered innovation, and a relentless focus on driving client outcomes. Recognized as one of the most awarded and analyst-accredited companies in its revenue range, Movate helps ambitious, growth-oriented companies across industries stay ahead of the curve by leveraging its world-class talent of over 11,700+ full-time Movators across 20 global locations and a gig network of thousands of technology experts across 60 countries, speaking over 100 languages.",1996,,Service,,3.4,Foreign Mnc
,,V-Mart,"Founded in 2002, V-Mart is a complete family retail store chain offering apparel, footwear and accessories for men, women and kids. The company also offers a wide range of home furnishings, general merchandise, toys, tableware, utensils, and other home utility items. The rich expertise of 17 years in delivering high-quality affordable fashion, coupled with a wide network of 200+ stores across 171 towns in 17 states and the motto of ‘Price""Less"" Fashion' has helped V-Mart win the trust of more than 3 crore satisfied customers every year. In 2018, V-Mart Retail was adjudged the world’s best performing departmental store, as per data compiled by Bloomberg. In 2019, the company was bestowed with the 'Transforming India Through Retail' award for ""Transforming lives in Tier II and III cities"" by Ministry of Textiles, Govt. of India.",2002,"Gurgaon/Gurugram, Haryana, India",B2C,Public,4.2,Corporate
,Manish Mohnot,Kalpataru Power Transmission,"Kalpataru Power Transmission Limited (KPTL) is amongst the largest players in the power transmission and infrastructure EPC space worldwide. With proven experience and expertise spanning over three decades, KPTL has established its footprint in over 50 countries, executing marquee projects , that deliver complete solutions spanning design, testing, fabrication, erection and construction of transmission lines, oil and gas infrastructure and railways projects on a turnkey basis.",1981,"Mumbai, Maharashtra, India",B2B,Public,4.2,Indian Mnc
,Amar Nagaram,Myntra,"Myntra is a one stop shop for your fashion and lifestyle needs. Being India's largest e-commerce store for fashion and lifestyle products, Myntra aims at providing a hassle free and enjoyable shopping experience to shoppers across the country with the widest range of brands and products on its portal. The brand is making a conscious effort to bring the power of fashion to shoppers with an array of the latest and trendiest products available in the country.",2007,,Product,Private,4.0,
,,Kansai Nerolac Paints,"In 1920, Gahagan Paints and Varnish came into being at Lower Parel in Mumbai. A century later, this paint company continues to be in an enviable position- that of being the second largest paint company in India and one of the most trusted names in the industry.

So what does it take to go from being a relatively small paint company to being a heavyweight like Kansai Nerolac?

It takes hard work and passion. It takes commitment and courage. It means marching ahead with fearless innovation. It involves taking risks and celebrating when they work. And going back to the drawing board when they do not. It means being keenly attuned to the needs of the customer. And still being invested in the environment. It requires investing in R and D, in technology, in your workforce. More importantly, it requires the unwavering belief in the product and resolute determination.",1920,"Mumbai, Maharashtra, India",B2C,Public,3.9,Indian Mnc
,,Srf,"SRF Limited is a manufacturing company located in Gurgaon, India. The company has manufacturing plants in India, South Africa and Thailand.",1970,"Gurgaon/Gurugram, Haryana, India",B2B,Public,4.3,Indian Mnc
,Rahul L. Kanodia,Datamatics Global Services,"Datamatics is a global provider of Consulting, Information Technology (IT), Data Management, and Business Process Management services to several Fortune 500 companies. Datamatics has a fully integrated offering to support the digital transformation of organizations through Smart Processes, Smart Systems, Smart Devices, and Smart Data. These solutions are powered by Robotics, Artificial Intelligence, and Machine Learning algorithms which offer improved business efficiency in the interconnected world. The core operation of Datamatics is built around “Data to Intelligence”, wherein Datamatics leverages data to extract intelligence and patterns thereby facilitating smarter and quicker decision-making. Datamatics has extensively invested in research on emerging technologies such as Artificial Intelligence, Machine Learning, Analytics, NLP, Blockchain, and Robotics. Datamatics' R&D center and incubation hub, DataLabs strives to create intelligent solutions for complex challenges faced by businesses and governments in today’s data-driven economy. TruAI, a comprehensive Artificial Intelligence platform that businesses use for Pattern Detection, Text, and Data Mining is a solution from DataLabs. TruAI will power other solutions from Datamatics’ existing portfolio – Robotics, Analytics, and Finance & Accounting, to provide cognitive capabilities that will further enhance productivity.",1975,"Mumbai, Maharashtra, India",Service,Public,3.5,Indian Mnc
,Schauna Chauhan,Parle Agro,"Parle Agro, India’s leading beverage company, has been home to innovators who’ve created some of India’s iconic brands such as Frooti, Appy, Appy Fizz and Bailley. Today, with over 5,000 employees, 76 state-of-the-art manufacturing facilities, and more than 5,000 channel partners, we are quenching the thirst of every Indian through a network of 1.5 million+ outlets.",1984,"Mumbai, Maharashtra, India",B2B,Private,4.1,Indian Mnc
,Prasanna Pahade,Rivigo,"We are a technology company that is building the material movement pipeline of India through a globally unique innovation of relay trucking, enabled by a strong interplay of technology, data, culture and operational excellence. Our goal is making logistics human, faster, safer and cost-effective.

Rivigo is solving a real and fundamental problem of truck driver shortage using a breakthrough relay model.

We have been transforming the sector with our global-first driver relay model and cutting-edge technology to consistently provide unparalleled delivery times and reliability to our clients.

We are solving the full range of challenges of the logistics industry using technology — be it complex problems like fuel analytics, route planning, human behaviour analysis or pure-drudgery elimination tasks like auto-alert systems and intelligent decision systems. Our technology obsession has resulted in simple, intuitive technology products gaining quick and easy adoption by the trucking ecosystem stakeholders.

We are contributing to building the new India by defining the next-generation trucking industry.

With accurate predictions, high levels of efficiency, simple automated operations, and a strong and pure mission, we are re-imagining logistics for India and the world.",2014,,Service,Private,3.9,Startup
,Shailendra Kumar Tripathi,Jmc Projects,"JMC Projects thrives on its technical capabilities, built over last several years and strong will power, to provide value to customers. This is the premise for establishing a culture of engagement in JMC's credo. Perfecting past knowledge and recapitulating this expertise makes us perform better & faster. Collaborative engagement pro-creates innovation, which ultimately creates a better & sustainable future. This underlines that JMC's pursuit of excellence is just a manifestation of achieving customer delight.

Over the last several years, JMC Projects has evolved as a prominent engineering and construction services company. On the backdrop of dynamic competitive landscape, JMC has weaved in agility and innovation into the culture of the organization. Recent upsurge in customer expectations is bound to unlock exciting opportunities of lifting our own standards.",1982,"Mumbai, Maharashtra, India",B2B,Public,4.2,Corporate
,Ms. Vibha Padalkar,Hdfc Life,"HDFC Life Insurance Company Limited (Formerly HDFC Standard Life Insurance Company Limited) ('HDFC Life' / ‘Company’) is a joint venture between HDFC Ltd., one of India’s leading housing finance institution and Standard Life Aberdeen, a global investment company. Established in 2000, HDFC Life is a leading long-term life insurance solutions provider in India, offering a range of individual and group insurance solutions that meet various customer needs such as Protection, Pension, Savings, Investment and Health. As on March 31, 2019 the Company had 38 individual and 11 group products in its portfolio, along with 8 optional rider benefits, catering to a diverse range of customer needs. HDFC Life continues to benefit from its presence across the country with 412 branches and additional distribution touchpoints through several partnerships. The partnerships comprise 265 bancassurance partners including NBFCs (Non-Banking Financial Companies), MFIs (Micro Finance Institutions), SFBs (Small Finance Banks), etc. and 39 partnerships within non-traditional ecosystems. The Company is also strengthened by a strong base of financial consultants. In Fiscal 2012, The Company established a wholly-owned subsidiary, HDFC Pension Management Company Ltd., to operate its pension fund business under the National Pension Scheme (NPS). And in Fiscal 2016, the Company established its first international wholly-owned subsidiary in the UAE, HDFC International Life and Re Company Ltd., to operate its reinsurance business",2000,"Mumbai, Maharashtra, India",B2C,Public,4.1,Corporate
,Thirukumaran Nagarajan,Ninjacart,"By harnessing technology, innovation, and ideas, we are building commerce, finance, and fulfilment solutions that help build better lives for agri citizens.",2015,,B2B,Private,4.0,Startup
,Kishore Biyani,Future Retail,"Future Retail operates some of India’s most popular retail chains that inspires trust through innovative offerings, quality products and affordable prices that help customers achieve a better quality of life every day. We serve millions of customers in more than 400 cities in every state of the country through digital platforms and over 1500 stores that cover over 16 million square feet of retail space.

Big Bazaar, our flagship chain is regularly ranked among the most trusted retail brands in the country. Our small store neighborhood retail chains, EasyDay Club and Heritage Fresh operates closer to the home of customers and offers member-customers a range of services.",1987,,Product,Public,4.3,Corporate
20402240000,Satish Mehta,Emcure Pharmaceuticals,"Our company was incorporated as Emcure Pharmaceuticals Private Limited on April 16, 1981 as a private limited companies Act, 1956. Our name embodies our purpose and core belief of the entire company which is to make Effective Medicine to Cure patients for enabling them to lead healthier lives.

We are a fast growing Indian pharmaceuticals company engaged in developing, manufacturing and marketing a broad range of pharmaceuticals products globally. Our core strength lies in developing and manufacturing differentiated pharmaceuticals products in-house, which we commercialize through our marketing  infrastructure across geographies and relationships with multi-national pharmaceutical companies.",1981,"Pune, India",B2C,Private,3.8,Indian Mnc
,,Indus Towers,Indus Towers Limited was formed by the merger of Bharti Infratel Limited and Indus Towers. This combined strength makes Indus one of the largest telecom tower companies in the world.,2007,,B2C,Private,3.9,Corporate
,,Cholamandalam Ms General Insurance,"Chola MS General Insurance Company Limited is a Joint Venture between the Murugappa Group and Mitsui Sumitomo Insurance Company Limited, Japan.

Chola MS offers a wide range of insurance products that include Motor, Health, Property, Accident, Engineering, Liability, Marine, Travel and Crop insurance for individuals and corporates. In 2018, the company achieved a Gross Written Premium (GWP) of INR 41,026 million. Chola MS currently has 87 branches and over 34,000 agents across the country.

Chola MS champions a brand philosophy called T3, which stands for Trust, Transparency, and Technology. It has also been consistently recognised and awarded by the Government of India, international entities and ratings agencies for its insurance service and delivery innovations.",2001,"Chennai, Tamil Nadu, India",B2C,,3.9,Corporate
,Deepinder Goyal,Zomato,"Launched in Delhi 16 years ago, Zomato has grown from a home project to one of the largest food aggregators in the world. We not only connect people to food in every context but also work closely with restaurants to enable a sustainable ecosystem. Back in 2008, all it took was an idea to enable digital access to thousands of restaurant menus. Three passionate foodies who hated waiting in lines, drove around Delhi to collect menus from restaurants, scan them and put them online. Their idea has now grown into the vision that drives our team of 5000+ people every day.",2008,"Gurgaon,Haryana, India",Product,Public,3.8,Corporate
,,Mahindra Logistics,"Mahindra Logistics Limited is a leading 3PL solutions provider with over a decade of experience. We have a strong presence across the country in our two distinct business segments – Supply Chain Management and Enterprise Mobility Solutions.

Our focus on technology allows us to emphasise on customised, tech-based solutions for our customers, thereby becoming their partners in true sense.

We offer Supply Chain expertise to diverse industry verticals such as Automotive, Engineering, Consumer Goods, Pharmaceuticals, Telecommunications, and E-commerce. And Enterprise Mobility expertise to IT, ITeS, Manufacturing, Consulting Businesses, Banking, Financial Services, and Insurance.",2000,,B2C,Public,4.0,Corporate
